arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/algo/utils/tensor_dict.py,funcao,cat_tensordicts,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/algo/utils/tensor_dict.py,funcao,find_invalid_data,8,21,12,24,29,36,116.2387,174.8873,4.5714,799.4849,44.4158,0.0583
sample_factory/algo/utils/tensor_utils.py,funcao,clone_tensor,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_utils.py,funcao,unsqueeze_tensor,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_utils.py,funcao,cat_tensors,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_utils.py,funcao,dict_of_lists_cat,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_utils.py,funcao,ensure_torch_tensor,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_utils.py,funcao,ensure_numpy_array,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/torch_utils.py,funcao,init_torch_runtime,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/algo/utils/torch_utils.py,funcao,inference_context,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/torch_utils.py,funcao,to_torch_dtype,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/torch_utils.py,funcao,calc_num_elements,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/torch_utils.py,funcao,to_scalar,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/torch_utils.py,funcao,masked_select,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/torch_utils.py,funcao,synchronize,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/spaces/discretized.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/spaces/discretized.py,funcao,to_continuous,4,9,5,10,13,15,36.5293,55.5066,2.2222,123.348,6.8527,0.0185
sample_factory/cfg/arguments.py,funcao,parse_sf_args,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/cfg/arguments.py,funcao,parse_full_cfg,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/cfg/arguments.py,funcao,postprocess_args,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/cfg/arguments.py,funcao,preprocess_cfg,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/cfg/arguments.py,funcao,verify_cfg,11,26,21,41,37,62,160.2652,322.9861,8.6731,2801.2834,155.6269,0.1077
